"strain","repLum","repLumsd","repLumError","maxError","minError","species","promoter","Experiment"
"MK62",17575.1094644138,5107.08286176307,480.433942462474,18055.5434068762,17094.6755219513,"E. coli","no promoter","Second trial"
"MK63",500680.603543363,271894.692502378,24924.5455966877,525605.14914005,475756.057946675,"E. coli","E. coli promoter","Second trial"
"MK64",45126.7075465978,28142.9424088269,2282.69405618055,47409.4016027784,42844.0134904173,"E. coli","E. clocae promoter","Second trial"
"MK65",7869.75088942152,3705.87899275825,452.74517739698,8322.4960668185,7417.00571202454,"E. clocae","no promoter","Second trial"
"MK66",77694.1494866944,16385.2518139202,1717.64110224028,79411.7905889347,75976.5083844542,"E. clocae","E. coli promoter","Second trial"
"MK67",15844.6208401947,9163.26189847383,916.326189847383,16760.9470300421,14928.2946503473,"E. clocae","E. clocae promoter","Second trial"
