"strain","repLum","repLumsd","repLumError","maxError","minError","species","promoter","Experiment"
"MK62",20377.4921860086,4524.33702481649,471.69474186317,20849.1869278718,19905.7974441455,"E. coli","no promoter","First trial"
"MK63",817995.712812294,82730.3314335946,7283.99952913276,825279.712341427,810711.713283162,"E. coli","E. coli promoter","First trial"
"MK64",32121.9321121282,7920.74520183613,686.815713057244,32808.7478251854,31435.116399071,"E. coli","E. clocae promoter","First trial"
"MK65",6386.35535299542,2524.53123231,267.599775425845,6653.95512842126,6118.75557756957,"E. clocae","no promoter","First trial"
"MK66",98972.1250940662,7699.03234861507,1010.93247416826,99983.0575682345,97961.192619898,"E. clocae","E. coli promoter","First trial"
"MK67",4942.03907099187,1906.44348153661,236.46521124172,5178.50428223359,4705.57385975015,"E. clocae","E. clocae promoter","First trial"
