"strain","repLum","repLumsd","repLumError","maxError","minError","species","promoter","Experiment"
"MK62",1283.278568132,2806.68958149515,223.99821437632,1507.27678250832,1059.28035375568,"E. coli","no promoter","Third trial"
"MK63",663069.693875201,37037.0007502906,2994.26404214762,666063.957917349,660075.429833054,"E. coli","E. coli promoter","Third trial"
"MK64",80611.760598568,19451.4767969597,1829.84101437793,82441.6016129459,78781.91958419,"E. coli","E. clocae promoter","Third trial"
"MK65",23196.5182750917,7176.88227984392,787.76517248019,23984.2834475719,22408.7531026115,"E. clocae","no promoter","Third trial"
"MK66",572238.977829838,72608.7566486083,8678.40632346155,580917.384153299,563560.571506376,"E. clocae","E. coli promoter","Third trial"
"MK67",51281.6554025388,13393.2092068711,1589.48150310677,52871.1369056455,49692.173899432,"E. clocae","E. clocae promoter","Third trial"
